Date,Close
12/05/2011,1
13/05/2011,11
14/05/2011,7
15/05/2011,7
16/05/2011,11
17/05/2011,1
18/05/2011,7
19/05/2011,10
20/05/2011,2
21/05/2011,17
22/05/2011,8
23/05/2011,9
24/05/2011,9
25/05/2011,15
26/05/2011,6
27/05/2011,31
28/05/2011,8
29/05/2011,3
30/05/2011,1
31/05/2011,10
01/06/2011,11
02/06/2011,15
03/06/2011,2
04/06/2011,11
05/06/2011,3
06/06/2011,5
07/06/2011,5
08/06/2011,12
09/06/2011,12
10/06/2011,9
11/06/2011,15
12/06/2011,2
13/06/2011,13
14/06/2011,2
15/06/2011,1
16/06/2011,6
17/06/2011,19
18/06/2011,10
19/06/2011,6
20/06/2011,11
21/06/2011,15
22/06/2011,13
23/06/2011,14
24/06/2011,9
25/06/2011,10
26/06/2011,6
27/06/2011,15
28/06/2011,3
29/06/2011,3
30/06/2011,3
01/07/2011,5
02/07/2011,11
03/07/2011,12
04/07/2011,13
05/07/2011,5
06/07/2011,9
07/07/2011,17
08/07/2011,1
09/07/2011,12
10/07/2011,8
11/07/2011,11
12/07/2011,17
13/07/2011,9
14/07/2011,2
15/07/2011,16
16/07/2011,11
17/07/2011,5
18/07/2011,5
19/07/2011,1
20/07/2011,13
21/07/2011,8
22/07/2011,37
23/07/2011,9
24/07/2011,4
25/07/2011,4
26/07/2011,3
27/07/2011,3
28/07/2011,5
29/07/2011,1
30/07/2011,1
31/07/2011,3
01/08/2011,3
02/08/2011,16
03/08/2011,1
04/08/2011,1
05/08/2011,7
06/08/2011,1
07/08/2011,11
08/08/2011,3
09/08/2011,9
10/08/2011,11
11/08/2011,6
12/08/2011,5
13/08/2011,9
14/08/2011,4
15/08/2011,22
16/08/2011,7
17/08/2011,9
18/08/2011,1
19/08/2011,13
20/08/2011,5
21/08/2011,18
22/08/2011,1
23/08/2011,6
24/08/2011,24
25/08/2011,12
26/08/2011,2
27/08/2011,15
28/08/2011,5
29/08/2011,1
