Date,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs)
02/01/2008,157,157.8,155.2,155.8,10,1720413,2688.94
03/01/2008,155.7,158.2,154.15,155.3,19,2049580,3204.49
04/01/2008,156,160.8,155.85,160.3,20,3124853,4978.8
05/01/2008,161.15,163.45,159,159.8,23,1880046,3030.76
06/01/2008,160.85,161.45,157.7,159.3,31,1281419,2039.09
07/01/2008,160,160.2,155.35,157.1,44,1145582,1805.49
08/01/2008,159.1,162.9,158.25,161.75,1,2724697,4381.6
09/01/2008,163.2,165,162.25,164,5,2540836,4163.49
10/01/2008,164.5,165.35,159,159.8,10,3257249,5252.89
11/01/2008,160.4,162.8,159.9,162.25,13,1598301,2583.68
12/01/2008,162.1,162.6,157,158.9,31,1228667,1950.57
13/01/2008,159,166.4,158,165.75,54,4943284,8096.77
14/01/2008,166.2,168.4,163.05,163.45,9,4412267,7337.93
15/01/2008,164,166.25,162.3,163.1,37,1058274,1733.67
16/01/2008,163.3,164.2,160.25,162.25,38,2067392,3350.14
17/01/2008,163,166,162.65,165.3,42,1918758,3158.04
18/01/2008,165,167.1,163.1,164.1,50,3033400,4991.85
19/01/2008,164,169.9,161.55,168.3,56,3726470,6227.17
20/01/2008,168,170,167.25,169.5,6,512878,868.66
21/01/2008,168.5,169.8,165.9,167.8,27,1762917,2960.86
22/01/2008,167.7,168.95,163.1,163.7,37,2080746,3437.64
23/01/2008,164.4,167.9,159.05,161.5,41,2358582,3874.98
24/01/2008,160.2,163,157.8,160.2,50,1175152,1883.24
25/01/2008,160.4,161.25,155.1,156.75,53,1954941,3059.76
26/01/2008,157.1,159.65,153.1,155.25,8,1842456,2891.59
27/01/2008,155,155,141.1,144.9,16,11917625,17299.48
28/01/2008,146.05,146.9,142.8,144.4,24,4246087,6161.68
29/01/2008,142.5,148.35,142.5,147.5,42,5738832,8407.83
30/01/2008,149,149.2,144.05,145,46,3835593,5596.79
31/01/2008,146.25,147.8,144.75,145.8,50,2756146,4034.8
01/02/2008,145.1,146.8,143.1,144.1,11,2997918,4355.49
02/02/2008,144.35,145.2,141.1,142.35,28,2315264,3306.1
03/02/2008,142.55,143.75,140.8,142.5,29,2305892,3285.91
04/02/2008,142,146.8,141.6,145.8,31,2505101,3641.28
05/02/2008,146.3,147.6,144,144.75,49,1855005,2699.14
